Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
Openpay,Melbourne,Australia,Australia,83.0,2023-02-07,100.0,83.0,0.0,Finance,Post-Ipo,299.0,2023,-37.814,144.96332,2,1,Yes,Moderate
LearnUpon,Dublin,Ireland,Europe,27.0,2023-02-07,9.0,300.0,273.0,Education,Private Equity,56.0,2023,53.33306,-6.24889,2,1,Yes,Mild
Loggi,Sao Paulo,Brazil,South America,300.0,2023-02-06,7.0,4286.0,3986.0,Logistics,Series F,507.0,2023,-23.5475,-46.63611,2,1,Yes,Heavy
Pocket Aces,Mumbai,India,Asia,50.0,2023-02-06,25.0,200.0,150.0,Media,Unknown,19.0,2023,19.07283,72.88261,2,1,Yes,Moderate
Lightico,Tel Aviv,Israel,Asia,20.0,2023-02-05,25.0,80.0,60.0,Finance,Series B,42.0,2023,32.08088,34.78057,2,1,Yes,Mild
Eightfold AI,San Francisco Bay Area,USA,North America,90.0,2023-02-03,15.0,600.0,510.0,Hr,Series E,396.0,2023,37.35411,-121.95524,2,1,Yes,Moderate
Protocol Labs,San Francisco Bay Area,USA,North America,89.0,2023-02-03,20.0,445.0,356.0,Crypto,Unknown,10.0,2023,37.77493,-122.41942,2,1,Yes,Moderate
Okta,San Francisco Bay Area,USA,North America,300.0,2023-02-02,5.0,6000.0,5700.0,Security,Post-Ipo,1200.0,2023,37.77493,-122.41942,2,1,Yes,Heavy
Miro,San Francisco Bay Area,USA,North America,119.0,2023-02-02,7.0,1700.0,1581.0,Other,Series C,476.0,2023,37.77493,-122.41942,2,1,Yes,Moderate
Highspot,Seattle,USA,North America,100.0,2023-02-02,10.0,1000.0,900.0,Sales,Series F,644.0,2023,47.60621,-122.33207,2,1,Yes,Moderate
Splunk,San Francisco Bay Area,USA,North America,325.0,2023-02-01,4.0,8125.0,7800.0,Data,Post-Ipo,2400.0,2023,37.77493,-122.41942,2,1,Yes,Heavy
DraftKings,Boston,USA,North America,140.0,2023-02-01,4.0,3500.0,3360.0,Consumer,Post-Ipo,719.0,2023,42.35843,-71.05977,2,1,Yes,Moderate
Workato,San Francisco Bay Area,USA,North America,90.0,2023-02-01,10.0,900.0,810.0,Other,Series E,415.0,2023,37.38605,-122.08385,2,1,Yes,Moderate
Wheel,Austin,USA,North America,56.0,2023-02-01,28.0,200.0,144.0,Healthcare,Series C,215.0,2023,30.26715,-97.74306,2,1,Yes,Moderate
Chainalysis,New York City,USA,North America,44.0,2023-02-01,5.0,880.0,836.0,Crypto,Series F,536.0,2023,40.71427,-74.00597,2,1,Yes,Mild
Exterro,Portland,USA,North America,24.0,2023-02-01,3.0,800.0,776.0,Legal,Private Equity,100.0,2023,45.52345,-122.67621,2,1,Yes,Mild
TheSkimm,New York City,USA,North America,17.0,2023-02-01,10.0,170.0,153.0,Media,Series C,28.0,2023,40.71427,-74.00597,2,1,Yes,Mild
PayPal,San Francisco Bay Area,USA,North America,2000.0,2023-01-31,7.0,28571.0,26571.0,Finance,Post-Ipo,216.0,2023,37.33939,-121.89496,1,1,Yes,Heavy
Workday,San Francisco Bay Area,USA,North America,525.0,2023-01-31,3.0,17500.0,16975.0,Hr,Post-Ipo,230.0,2023,37.66243,-121.87468,1,1,Yes,Heavy
HubSpot,Boston,USA,North America,500.0,2023-01-31,7.0,7143.0,6643.0,Marketing,Post-Ipo,100.0,2023,42.35843,-71.05977,1,1,Yes,Heavy
Upstart,San Francisco Bay Area,USA,North America,365.0,2023-01-31,20.0,1825.0,1460.0,Finance,Post-Ipo,144.0,2023,37.56299,-122.32553,1,1,Yes,Heavy
Software AG,Frankfurt,Germany,Europe,200.0,2023-01-31,4.0,5000.0,4800.0,Data,Post-Ipo,344.0,2023,50.11552,8.68417,1,1,Yes,Heavy
Wish,San Francisco Bay Area,USA,North America,150.0,2023-01-31,17.0,882.0,732.0,Retail,Post-Ipo,1600.0,2023,37.77493,-122.41942,1,1,Yes,Moderate
Tilting Point,New York City,USA,North America,60.0,2023-01-31,14.0,429.0,369.0,Consumer,Unknown,235.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
AU10TIX,Tel Aviv,Israel,Asia,19.0,2023-01-31,9.0,211.0,192.0,Security,Unknown,80.0,2023,32.08088,34.78057,1,1,Yes,Mild
Arrival,London,United Kingdom,Europe,800.0,2023-01-30,50.0,1600.0,800.0,Transportation,Post-Ipo,629.0,2023,51.50853,-0.12574,1,1,Yes,Heavy
Glovo,Barcelona,Spain,Europe,250.0,2023-01-30,6.0,4167.0,3917.0,Food,Acquired,182.0,2023,41.38879,2.15899,1,1,Yes,Heavy
Delivery Hero,Berlin,Germany,Europe,156.0,2023-01-30,4.0,3900.0,3744.0,Food,Post-Ipo,182.0,2023,52.52437,13.41053,1,1,Yes,Moderate
Impossible Foods,San Francisco Bay Area,USA,North America,140.0,2023-01-30,20.0,700.0,560.0,Food,Series H,1900.0,2023,37.48522,-122.23635,1,1,Yes,Moderate
Chrono24,Karlsruhe,Germany,Europe,65.0,2023-01-30,13.0,500.0,435.0,Retail,Series C,205.0,2023,49.00937,8.40444,1,1,Yes,Moderate
DealShare,Bengaluru,India,Asia,100.0,2023-01-27,6.0,1667.0,1567.0,Retail,Series E,390.0,2023,12.97194,77.59369,1,1,Yes,Moderate
Matrixport,Singapore,Singapore,Asia,29.0,2023-01-27,10.0,290.0,261.0,Crypto,Series C,100.0,2023,1.28967,103.85007,1,1,Yes,Mild
Shakepay,Montreal,Canada,North America,21.0,2023-01-27,25.0,84.0,63.0,Crypto,Series A,45.0,2023,45.50884,-73.58781,1,1,Yes,Mild
#Paid,Toronto,Canada,North America,19.0,2023-01-27,17.0,112.0,93.0,Marketing,Series B,21.0,2023,43.70643,-79.39864,1,1,Yes,Mild
SAP,Walldorf,Germany,Europe,3000.0,2023-01-26,3.0,100000.0,97000.0,Other,Post-Ipo,1300.0,2023,49.99472,8.58361,1,1,Yes,Heavy
Confluent,San Francisco Bay Area,USA,North America,221.0,2023-01-26,8.0,2763.0,2542.0,Data,Post-Ipo,455.0,2023,37.38605,-122.08385,1,1,Yes,Heavy
Glisser,London,United Kingdom,Europe,25.0,2023-01-26,100.0,25.0,0.0,Travel,Unknown,1.0,2023,51.50853,-0.12574,1,1,Yes,Mild
Luno,London,United Kingdom,Europe,330.0,2023-01-25,35.0,943.0,613.0,Crypto,Acquired,13.0,2023,51.50853,-0.12574,1,1,Yes,Heavy
Guardant Health,San Francisco Bay Area,USA,North America,130.0,2023-01-25,7.0,1857.0,1727.0,Healthcare,Post-Ipo,550.0,2023,37.44188,-122.14302,1,1,Yes,Moderate
SirionLabs,Seattle,USA,North America,130.0,2023-01-25,15.0,867.0,737.0,Legal,Series D,171.0,2023,47.60621,-122.33207,1,1,Yes,Moderate
Tier Mobility,Berlin,Germany,Europe,80.0,2023-01-25,7.0,1143.0,1063.0,Transportation,Series D,646.0,2023,52.52437,13.41053,1,1,Yes,Moderate
Vacasa,Portland,USA,North America,1300.0,2023-01-24,17.0,7647.0,6347.0,Travel,Post-Ipo,834.0,2023,45.52345,-122.67621,1,1,Yes,Heavy
Innovaccer,San Francisco Bay Area,USA,North America,245.0,2023-01-24,15.0,1633.0,1388.0,Healthcare,Series E,379.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
Bolt,San Francisco Bay Area,USA,North America,50.0,2023-01-24,10.0,500.0,450.0,Finance,Series E,1300.0,2023,37.77493,-122.41942,1,1,Yes,Moderate
PartnerStack,Toronto,Canada,North America,40.0,2023-01-24,20.0,200.0,160.0,Sales,Series B,36.0,2023,43.70643,-79.39864,1,1,Yes,Mild
Gitpod,Kiel,Germany,Europe,21.0,2023-01-24,28.0,75.0,54.0,Product,Series A,41.0,2023,54.32133,10.13489,1,1,Yes,Mild
Spotify,Stockholm,Sweden,Europe,600.0,2023-01-23,6.0,10000.0,9400.0,Media,Post-Ipo,2100.0,2023,59.32938,18.06871,1,1,Yes,Heavy
Uber Freight,San Francisco Bay Area,USA,North America,150.0,2023-01-23,3.0,5000.0,4850.0,Logistics,Subsidiary,2700.0,2023,37.77493,-122.36608,1,1,Yes,Moderate
Innovid,New York City,USA,North America,40.0,2023-01-23,10.0,400.0,360.0,Marketing,Post-Ipo,295.0,2023,40.71427,-74.00597,1,1,Yes,Mild
Ermetic,San Francisco Bay Area,USA,North America,30.0,2023-01-23,17.0,176.0,146.0,Security,Series B,97.0,2023,37.44188,-122.14302,1,1,Yes,Mild
Namogoo,Tel Aviv,Israel,Asia,20.0,2023-01-23,15.0,133.0,113.0,Marketing,Series C,69.0,2023,32.08088,34.78057,1,1,Yes,Mild
Google,San Francisco Bay Area,USA,North America,12000.0,2023-01-20,6.0,200000.0,188000.0,Consumer,Post-Ipo,26.0,2023,37.38605,-122.08385,1,1,Yes,Heavy
Wayfair,Boston,USA,North America,1750.0,2023-01-20,10.0,17500.0,15750.0,Retail,Post-Ipo,1700.0,2023,42.35843,-71.05977,1,1,Yes,Heavy
Swiggy,Bengaluru,India,Asia,380.0,2023-01-20,6.0,6333.0,5953.0,Food,Unknown,182.0,2023,12.97194,77.59369,1,1,Yes,Heavy
MediBuddy,Bengaluru,India,Asia,200.0,2023-01-20,8.0,2500.0,2300.0,Healthcare,Acquired,192.0,2023,12.97194,77.59369,1,1,Yes,Heavy
Vox Media,Washington DC,USA,North America,130.0,2023-01-20,7.0,1857.0,1727.0,Media,Series F,307.0,2023,38.89511,-77.03637,1,1,Yes,Moderate
Enjoei,Sao Paulo,Brazil,South America,31.0,2023-01-20,10.0,310.0,279.0,Retail,Unknown,14.0,2023,-23.5475,-46.63611,1,1,Yes,Mild
Citrine Informatics,San Francisco Bay Area,USA,North America,22.0,2023-01-20,27.0,81.0,59.0,Data,Series C,64.0,2023,37.48522,-122.23635,1,1,Yes,Mild
Hubilo,San Francisco Bay Area,USA,North America,115.0,2023-01-19,35.0,329.0,214.0,Other,Series B,153.0,2023,37.77493,-122.41942,1,1,Yes,Moderate
Saks.com,New York City,USA,North America,100.0,2023-01-19,5.0,2000.0,1900.0,Retail,Unknown,965.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
CS Disco,Austin,USA,North America,62.0,2023-01-19,9.0,689.0,627.0,Legal,Post-Ipo,233.0,2023,30.26715,-97.74306,1,1,Yes,Moderate
Microsoft,Seattle,USA,North America,10000.0,2023-01-18,5.0,200000.0,190000.0,Other,Post-Ipo,1.0,2023,47.60621,-122.33207,1,1,Yes,Heavy
Sophos,Oxford,United Kingdom,Europe,450.0,2023-01-18,10.0,4500.0,4050.0,Security,Acquired,125.0,2023,51.75222,-1.25596,1,1,Yes,Heavy
Teladoc Health,New York City,USA,North America,300.0,2023-01-18,6.0,5000.0,4700.0,Healthcare,Post-Ipo,172.0,2023,40.71427,-74.00597,1,1,Yes,Heavy
Vroom,New York City,USA,North America,275.0,2023-01-18,20.0,1375.0,1100.0,Transportation,Post-Ipo,182.0,2023,40.71427,-74.00597,1,1,Yes,Heavy
8x8,San Francisco Bay Area,USA,North America,155.0,2023-01-18,7.0,2214.0,2059.0,Support,Post-Ipo,253.0,2023,37.28717,-121.9499,1,1,Yes,Moderate
Pagaya,New York City,USA,North America,140.0,2023-01-18,20.0,700.0,560.0,Finance,Post-Ipo,571.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
Benevity,Calgary,Canada,North America,137.0,2023-01-18,14.0,979.0,842.0,Other,Unknown,69.0,2023,51.05011,-114.08529,1,1,Yes,Moderate
Inspirato,Denver,USA,North America,109.0,2023-01-18,12.0,908.0,799.0,Travel,Post-Ipo,179.0,2023,39.73915,-104.9847,1,1,Yes,Moderate
Jumpcloud,Boulder,USA,North America,100.0,2023-01-18,12.0,833.0,733.0,Security,Series F,416.0,2023,40.01499,-105.27055,1,1,Yes,Moderate
nCino,Wilmington,USA,North America,100.0,2023-01-18,7.0,1429.0,1329.0,Finance,Post-Ipo,182.0,2023,34.23556,-77.94604,1,1,Yes,Moderate
Starry,Boston,USA,North America,100.0,2023-01-18,24.0,417.0,317.0,Other,Post-Ipo,260.0,2023,42.35843,-71.05977,1,1,Yes,Moderate
Hootsuite,Vancouver,Canada,North America,70.0,2023-01-18,7.0,1000.0,930.0,Marketing,Series C,300.0,2023,49.24966,-123.11934,1,1,Yes,Moderate
Clue,Berlin,Germany,Europe,31.0,2023-01-18,31.0,100.0,69.0,Healthcare,Unknown,47.0,2023,52.52437,13.41053,1,1,Yes,Mild
Addepar,San Francisco Bay Area,USA,North America,20.0,2023-01-18,3.0,667.0,647.0,Finance,Series F,491.0,2023,37.38605,-122.08385,1,1,Yes,Mild
Lightspeed Company,Montreal,Canada,North America,300.0,2023-01-17,10.0,3000.0,2700.0,Retail,Post-Ipo,182.0,2023,45.50884,-73.58781,1,1,Yes,Heavy
Unity,San Francisco Bay Area,USA,North America,284.0,2023-01-17,3.0,9467.0,9183.0,Other,Post-Ipo,1300.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
Britishvolt,London,United Kingdom,Europe,206.0,2023-01-17,100.0,206.0,0.0,Transportation,Unknown,2400.0,2023,51.50853,-0.12574,1,1,Yes,Heavy
Exotel,Bengaluru,India,Asia,142.0,2023-01-17,15.0,947.0,805.0,Support,Series D,87.0,2023,12.97194,77.59369,1,1,Yes,Moderate
Unico,Sao Paulo,Brazil,South America,110.0,2023-01-17,10.0,1100.0,990.0,Other,Series D,336.0,2023,-23.5475,-46.63611,1,1,Yes,Moderate
American Robotics,Boston,USA,North America,50.0,2023-01-17,65.0,77.0,27.0,Other,Acquired,92.0,2023,42.35843,-71.05977,1,1,Yes,Moderate
ShareChat,Bengaluru,India,Asia,500.0,2023-01-16,20.0,2500.0,2000.0,Consumer,Series H,1700.0,2023,12.97194,77.59369,1,1,Yes,Heavy
ClearCo,Toronto,Canada,North America,50.0,2023-01-16,30.0,167.0,117.0,Finance,Series C,698.0,2023,43.70643,-79.39864,1,1,Yes,Moderate
Snappy,New York City,USA,North America,100.0,2023-01-15,30.0,333.0,233.0,Marketing,Series C,104.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
BharatAgri,Mumbai,India,Asia,40.0,2023-01-15,43.0,93.0,53.0,Food,Series A,21.0,2023,19.07283,72.88261,1,1,Yes,Mild
Lending Club,San Francisco Bay Area,USA,North America,225.0,2023-01-12,14.0,1607.0,1382.0,Finance,Post-Ipo,392.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
SmartNews,Tokyo,Japan,Asia,120.0,2023-01-12,40.0,300.0,180.0,Media,Series F,410.0,2023,35.6895,139.69171,1,1,Yes,Moderate
Pier,Sao Paulo,Brazil,South America,111.0,2023-01-12,39.0,285.0,174.0,Finance,Series B,42.0,2023,-23.5475,-46.63611,1,1,Yes,Moderate
Blockchain.com,London,United Kingdom,Europe,110.0,2023-01-12,28.0,393.0,283.0,Crypto,Series D,490.0,2023,51.50853,-0.12574,1,1,Yes,Moderate
Lattice,San Francisco Bay Area,USA,North America,105.0,2023-01-12,15.0,700.0,595.0,Hr,Series F,328.0,2023,37.77493,-122.41942,1,1,Yes,Moderate
Greenlight,Atlanta,USA,North America,104.0,2023-01-12,21.0,495.0,391.0,Finance,Series D,556.0,2023,33.749,-84.38798,1,1,Yes,Moderate
Akili Labs,Boston,USA,North America,46.0,2023-01-12,30.0,153.0,107.0,Healthcare,Post-Ipo,301.0,2023,42.35843,-71.05977,1,1,Yes,Mild
Flexport,San Francisco Bay Area,USA,North America,640.0,2023-01-11,20.0,3200.0,2560.0,Logistics,Series E,2400.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
Qualtrics,Salt Lake City,USA,North America,270.0,2023-01-11,5.0,5400.0,5130.0,Other,Post-Ipo,400.0,2023,40.76078,-111.89105,1,1,Yes,Heavy
Tipalti,San Francisco Bay Area,USA,North America,123.0,2023-01-11,11.0,1118.0,995.0,Finance,Series F,565.0,2023,37.55855,-122.27108,1,1,Yes,Moderate
Jumio,San Francisco Bay Area,USA,North America,100.0,2023-01-11,6.0,1667.0,1567.0,Security,Private Equity,205.0,2023,37.36883,-122.03635,1,1,Yes,Moderate
Coinbase,San Francisco Bay Area,USA,North America,950.0,2023-01-10,20.0,4750.0,3800.0,Crypto,Post-Ipo,549.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
Blend,San Francisco Bay Area,USA,North America,340.0,2023-01-10,28.0,1214.0,874.0,Finance,Post-Ipo,665.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
ConsenSys,New York City,USA,North America,100.0,2023-01-10,11.0,909.0,809.0,Crypto,Series D,726.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
ForeScout,Tel Aviv,Israel,Asia,100.0,2023-01-10,10.0,1000.0,900.0,Security,Acquired,125.0,2023,32.08088,34.78057,1,1,Yes,Moderate
Thinkific,Vancouver,Canada,North America,76.0,2023-01-10,19.0,400.0,324.0,Education,Post-Ipo,22.0,2023,49.24966,-123.11934,1,1,Yes,Moderate
Parler,Nashville,USA,North America,60.0,2023-01-10,75.0,80.0,20.0,Consumer,Series B,36.0,2023,36.16589,-86.78444,1,1,Yes,Moderate
GoBolt,Toronto,Canada,North America,55.0,2023-01-10,5.0,1100.0,1045.0,Logistics,Series C,178.0,2023,43.70643,-79.39864,1,1,Yes,Moderate
StreamElements,Tel Aviv,Israel,Asia,40.0,2023-01-10,20.0,200.0,160.0,Media,Series B,111.0,2023,32.08088,34.78057,1,1,Yes,Mild
Cart.com,Austin,USA,North America,25.0,2023-01-10,4.0,625.0,600.0,Retail,Unknown,383.0,2023,30.26715,-97.74306,1,1,Yes,Mild
Fate Therapeutics,San Diego,USA,North America,315.0,2023-01-09,57.0,553.0,238.0,Healthcare,Post-Ipo,182.0,2023,32.71571,-117.16472,1,1,Yes,Heavy
Minute Media,London,United Kingdom,Europe,50.0,2023-01-08,10.0,500.0,450.0,Media,Series I,160.0,2023,51.50853,-0.12574,1,1,Yes,Moderate
WalkMe,San Francisco Bay Area,USA,North America,43.0,2023-01-08,3.0,1433.0,1390.0,Other,Post-Ipo,307.0,2023,37.77493,-122.41942,1,1,Yes,Mild
Huobi,Bejing,China,Asia,275.0,2023-01-06,20.0,1375.0,1100.0,Crypto,Unknown,2.0,2023,39.9075,116.39723,1,1,Yes,Heavy
Bounce,Bengaluru,India,Asia,40.0,2023-01-06,5.0,800.0,760.0,Transportation,Series D,214.0,2023,12.97194,77.59369,1,1,Yes,Mild
SoundHound,San Francisco Bay Area,USA,North America,200.0,2023-01-05,50.0,400.0,200.0,Other,Post-Ipo,326.0,2023,37.35411,-121.95524,1,1,Yes,Heavy
Socure,Reno,USA,North America,104.0,2023-01-05,19.0,547.0,443.0,Finance,Series E,646.0,2023,39.52963,-119.8138,1,1,Yes,Moderate
Moglix,Singapore,Singapore,Asia,40.0,2023-01-05,2.0,2000.0,1960.0,Retail,Series F,472.0,2023,1.28967,103.85007,1,1,Yes,Mild
Everlane,San Francisco Bay Area,USA,North America,30.0,2023-01-05,17.0,176.0,146.0,Retail,Unknown,176.0,2023,37.77493,-122.41942,1,1,Yes,Mild
Pecan AI,Tel Aviv,Israel,Asia,30.0,2023-01-05,25.0,120.0,90.0,Data,Series C,116.0,2023,32.08088,34.78057,1,1,Yes,Mild
Personetics,New York City,USA,North America,30.0,2023-01-05,8.0,375.0,345.0,Support,Private Equity,178.0,2023,40.71427,-74.00597,1,1,Yes,Mild
Twine Solutions,Tel Aviv,Israel,Asia,30.0,2023-01-05,33.0,91.0,61.0,Hardware,Unknown,50.0,2023,32.08088,34.78057,1,1,Yes,Mild
UpScalio,Gurugram,India,Asia,25.0,2023-01-05,15.0,167.0,142.0,Retail,Series B,62.0,2023,28.4601,77.02635,1,1,Yes,Mild
Amazon,Seattle,USA,North America,8000.0,2023-01-04,2.0,400000.0,392000.0,Retail,Post-Ipo,108.0,2023,47.60621,-122.33207,1,1,Yes,Heavy
SaleSan Franciscoorce,San Francisco Bay Area,USA,North America,8000.0,2023-01-04,10.0,80000.0,72000.0,Sales,Post-Ipo,65.0,2023,37.77493,-122.41942,1,1,Yes,Heavy
Astronomer,Cincinnati,USA,North America,76.0,2023-01-04,20.0,380.0,304.0,Data,Series C,282.0,2023,39.12711,-84.51439,1,1,Yes,Moderate
Kaltura,New York City,USA,North America,75.0,2023-01-04,11.0,682.0,607.0,Media,Post-Ipo,166.0,2023,40.71427,-74.00597,1,1,Yes,Moderate
Augury,New York City,USA,North America,20.0,2023-01-04,5.0,400.0,380.0,Manufacturing,Series E,274.0,2023,40.71427,-74.00597,1,1,Yes,Mild
Uniphore,San Francisco Bay Area,USA,North America,76.0,2023-01-03,10.0,760.0,684.0,Support,Series E,620.0,2023,37.44188,-122.14302,1,1,Yes,Moderate
Micron,Boise,USA,North America,4800.0,2023-01-01,10.0,48000.0,43200.0,Hardware,Post-Ipo,50.0,2023,43.6135,-116.20345,1,1,Yes,Heavy
Back Market,Paris,France,Europe,93.0,2022-12-23,13.0,715.0,622.0,Retail,Series E,1000.0,2022,48.85341,2.3488,12,4,Yes,Moderate
TuSimple,San Diego,USA,North America,350.0,2022-12-21,25.0,1400.0,1050.0,Transportation,Post-Ipo,648.0,2022,32.71571,-117.16472,12,4,Yes,Heavy
Chope,Singapore,Singapore,Asia,65.0,2022-12-20,24.0,271.0,206.0,Food,Series E,50.0,2022,1.28967,103.85007,12,4,Yes,Moderate
Briza,Toronto,Canada,North America,26.0,2022-12-20,40.0,65.0,39.0,Finance,Series A,10.0,2022,43.70643,-79.39864,12,4,Yes,Mild
Homebot,Denver,USA,North America,18.0,2022-12-19,13.0,138.0,120.0,Real Estate,Acquired,4.0,2022,39.73915,-104.9847,12,4,Yes,Mild
Tomorrow,Hamburg,Germany,Europe,30.0,2022-12-16,25.0,120.0,90.0,Finance,Unknown,29.0,2022,53.55073,9.99302,12,4,Yes,Mild
Revelate,Montreal,Canada,North America,24.0,2022-12-16,30.0,80.0,56.0,Data,Series A,26.0,2022,45.50884,-73.58781,12,4,Yes,Mild
BigCommerce,Austin,USA,North America,180.0,2022-12-15,13.0,1385.0,1205.0,Retail,Post-Ipo,224.0,2022,30.26715,-97.74306,12,4,Yes,Moderate
Freshworks,San Francisco Bay Area,USA,North America,90.0,2022-12-15,2.0,4500.0,4410.0,Support,Post-Ipo,484.0,2022,37.56299,-122.32553,12,4,Yes,Moderate
LeafLink,New York City,USA,North America,80.0,2022-12-15,31.0,258.0,178.0,Other,Series C,379.0,2022,40.71427,-74.00597,12,4,Yes,Moderate
Workmotion,Berlin,Germany,Europe,60.0,2022-12-15,20.0,300.0,240.0,Hr,Series B,76.0,2022,52.52437,13.41053,12,4,Yes,Moderate
JD.ID,Jakarta,Indonesia,Asia,200.0,2022-12-14,30.0,667.0,467.0,Retail,Post-Ipo,182.0,2022,-6.21462,106.84513,12,4,Yes,Heavy
Headspace,Los Angeles,USA,North America,50.0,2022-12-14,4.0,1250.0,1200.0,Healthcare,Unknown,215.0,2022,34.05223,-118.24368,12,4,Yes,Moderate
ChowNow,Los Angeles,USA,North America,40.0,2022-12-14,10.0,400.0,360.0,Food,Series C,64.0,2022,34.05223,-118.24368,12,4,Yes,Mild
Thumbtack,San Francisco Bay Area,USA,North America,160.0,2022-12-13,14.0,1143.0,983.0,Consumer,Series I,698.0,2022,37.77493,-122.41942,12,4,Yes,Moderate
Edgio,Phoenix,USA,North America,95.0,2022-12-13,10.0,950.0,855.0,Infrastructure,Post-Ipo,462.0,2022,33.44838,-112.07404,12,4,Yes,Moderate
Komodo Health,San Francisco Bay Area,USA,North America,78.0,2022-12-13,9.0,867.0,789.0,Healthcare,Series E,514.0,2022,37.77493,-122.41942,12,4,Yes,Moderate
Pluralsight,Salt Lake City,USA,North America,400.0,2022-12-12,20.0,2000.0,1600.0,Education,Acquired,192.0,2022,40.76078,-111.89105,12,4,Yes,Heavy
Outschool,San Francisco Bay Area,USA,North America,43.0,2022-12-10,25.0,172.0,129.0,Education,Series D,240.0,2022,37.77493,-122.41942,12,4,Yes,Mild
Xentral,Munich,Germany,Europe,20.0,2022-12-10,10.0,200.0,180.0,Product,Series B,94.0,2022,48.13743,11.57549,12,4,Yes,Mild
Alice,Sao Paulo,Brazil,South America,113.0,2022-12-09,16.0,706.0,593.0,Healthcare,Series C,174.0,2022,-23.5475,-46.63611,12,4,Yes,Moderate
Primer,London,United Kingdom,Europe,85.0,2022-12-09,33.0,258.0,173.0,Finance,Series B,73.0,2022,51.50853,-0.12574,12,4,Yes,Moderate
OneFootball,Berlin,Germany,Europe,62.0,2022-12-09,12.0,517.0,455.0,Marketing,Series D,442.0,2022,52.52437,13.41053,12,4,Yes,Moderate
C2FO,Kansas City,USA,North America,20.0,2022-12-09,2.0,1000.0,980.0,Finance,Series H,537.0,2022,39.09973,-94.57857,12,4,Yes,Mild
Airtable,San Francisco Bay Area,USA,North America,254.0,2022-12-08,20.0,1270.0,1016.0,Product,Series F,1400.0,2022,37.77493,-122.41942,12,4,Yes,Heavy
Swiggy,Bengaluru,India,Asia,250.0,2022-12-08,3.0,8333.0,8083.0,Food,Unknown,182.0,2022,12.97194,77.59369,12,4,Yes,Heavy
Glints,Singapore,Singapore,Asia,198.0,2022-12-08,18.0,1100.0,902.0,Hr,Series D,82.0,2022,1.28967,103.85007,12,4,Yes,Moderate
Buser,Sao Paulo,Brazil,South America,160.0,2022-12-08,30.0,533.0,373.0,Transportation,Series C,138.0,2022,-23.5475,-46.63611,12,4,Yes,Moderate
BlackLine,Los Angeles,USA,North America,95.0,2022-12-08,5.0,1900.0,1805.0,Finance,Private Equity,220.0,2022,34.05223,-118.24368,12,4,Yes,Moderate
Otonomo,Tel Aviv,Israel,Asia,80.0,2022-12-08,50.0,160.0,80.0,Transportation,Post-Ipo,231.0,2022,32.08088,34.78057,12,4,Yes,Moderate
TechTarget,Boston,USA,North America,60.0,2022-12-08,5.0,1200.0,1140.0,Marketing,Post-Ipo,115.0,2022,42.35843,-71.05977,12,4,Yes,Moderate
CyCognito,San Francisco Bay Area,USA,North America,30.0,2022-12-08,15.0,200.0,170.0,Security,Series C,153.0,2022,37.44188,-122.14302,12,4,Yes,Mild
Armis,San Francisco Bay Area,USA,North America,25.0,2022-12-08,4.0,625.0,600.0,Security,Private Equity,537.0,2022,37.77493,-122.41942,12,4,Yes,Mild
Loft,Sao Paulo,Brazil,South America,312.0,2022-12-07,12.0,2600.0,2288.0,Real Estate,Unknown,788.0,2022,-23.5475,-46.63611,12,4,Yes,Heavy
Plaid,San Francisco Bay Area,USA,North America,260.0,2022-12-07,20.0,1300.0,1040.0,Finance,Series D,734.0,2022,37.77493,-122.41942,12,4,Yes,Heavy
Motive,San Francisco Bay Area,USA,North America,237.0,2022-12-07,6.0,3950.0,3713.0,Transportation,Series F,567.0,2022,37.77493,-122.41942,12,4,Yes,Heavy
Relativity,Chicago,USA,North America,150.0,2022-12-07,10.0,1500.0,1350.0,Legal,Private Equity,125.0,2022,41.85003,-87.65005,12,4,Yes,Moderate
Voi,Stockholm,Sweden,Europe,130.0,2022-12-07,13.0,1000.0,870.0,Transportation,Series D,515.0,2022,59.32938,18.06871,12,4,Yes,Moderate
Integral Ad Science,New York City,USA,North America,120.0,2022-12-07,13.0,923.0,803.0,Marketing,Acquired,116.0,2022,40.71427,-74.00597,12,4,Yes,Moderate
Houzz,San Francisco Bay Area,USA,North America,95.0,2022-12-07,8.0,1188.0,1093.0,Consumer,Series E,613.0,2022,37.44188,-122.14302,12,4,Yes,Moderate
Grover,Berlin,Germany,Europe,40.0,2022-12-07,10.0,400.0,360.0,Retail,Unknown,182.0,2022,52.52437,13.41053,12,4,Yes,Mild
