Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
Stash Financial,New York City,USA,North America,40.0,2022-06-30,8.0,500.0,460.0,Finance,Unknown,480.0,2022,40.71427,-74.00597,6,2,Yes,Mild
Nate,New York City,USA,North America,30.0,2022-06-30,20.0,150.0,120.0,Retail,Series A,47.0,2022,40.71427,-74.00597,6,2,Yes,Mild
Stream,Boulder,USA,North America,20.0,2022-06-30,12.0,167.0,147.0,Product,Series B,58.0,2022,40.01499,-105.27055,6,2,Yes,Mild
Finleap Connect,Hamburg,Germany,Europe,14.0,2022-06-30,10.0,140.0,126.0,Finance,Series A,22.0,2022,53.55073,9.99302,6,2,Yes,Mild
Abra,San Francisco Bay Area,USA,North America,12.0,2022-06-30,5.0,240.0,228.0,Crypto,Series C,106.0,2022,37.70215,-121.93579,6,2,Yes,Mild
Unity,San Francisco Bay Area,USA,North America,200.0,2022-06-29,4.0,5000.0,4800.0,Other,Post-Ipo,1300.0,2022,37.77493,-122.41942,6,2,Yes,Heavy
Niantic,San Francisco Bay Area,USA,North America,85.0,2022-06-29,8.0,1063.0,978.0,Consumer,Series D,770.0,2022,37.77493,-122.41942,6,2,Yes,Moderate
Qumulo,Seattle,USA,North America,80.0,2022-06-29,19.0,421.0,341.0,Data,Series E,347.0,2022,47.60621,-122.33207,6,2,Yes,Moderate
Clutch,Toronto,Canada,North America,76.0,2022-06-29,22.0,345.0,269.0,Transportation,Series B,153.0,2022,43.70643,-79.39864,6,2,Yes,Moderate
Oye Rickshaw,New Delhi,India,Asia,40.0,2022-06-29,20.0,200.0,160.0,Transportation,Unknown,13.0,2022,28.65195,77.23149,6,2,Yes,Mild
Rows,Berlin,Germany,Europe,18.0,2022-06-29,30.0,60.0,42.0,Other,Series B,25.0,2022,52.52437,13.41053,6,2,Yes,Mild
Baton,San Francisco Bay Area,USA,North America,16.0,2022-06-29,25.0,64.0,48.0,Transportation,Series A,13.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Substack,San Francisco Bay Area,USA,North America,13.0,2022-06-29,14.0,93.0,80.0,Media,Series B,82.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Huobi,Bejing,China,Asia,300.0,2022-06-28,30.0,1000.0,700.0,Crypto,Unknown,2.0,2022,39.9075,116.39723,6,2,Yes,Heavy
StockX,Detroit,USA,North America,120.0,2022-06-28,8.0,1500.0,1380.0,Retail,Series E,690.0,2022,42.33143,-83.04575,6,2,Yes,Moderate
Sidecar Health,Los Angeles,USA,North America,110.0,2022-06-28,40.0,275.0,165.0,Healthcare,Series C,163.0,2022,34.05223,-118.24368,6,2,Yes,Moderate
Vezeeta,Dubai,United Arabian Emirates,Asia,50.0,2022-06-28,10.0,500.0,450.0,Healthcare,Series D,71.0,2022,25.07725,55.30927,6,2,Yes,Moderate
Bright Machines,San Francisco Bay Area,USA,North America,30.0,2022-06-28,8.0,375.0,345.0,Data,Unknown,250.0,2022,37.77493,-122.41942,6,2,Yes,Mild
HealthMatch,Sydney,Australia,Australia,18.0,2022-06-28,50.0,36.0,18.0,Healthcare,Series B,20.0,2022,-33.86785,151.20732,6,2,Yes,Mild
AppLovin,San Francisco Bay Area,USA,North America,300.0,2022-06-27,12.0,2500.0,2200.0,Marketing,Post-Ipo,1600.0,2022,37.44188,-122.14302,6,2,Yes,Heavy
UiPath,New York City,USA,North America,210.0,2022-06-27,5.0,4200.0,3990.0,Data,Post-Ipo,2000.0,2022,40.71427,-74.00597,6,2,Yes,Heavy
Udaan,Bengaluru,India,Asia,180.0,2022-06-27,4.0,4500.0,4320.0,Retail,Unknown,182.0,2022,12.97194,77.59369,6,2,Yes,Moderate
